customer_id,name,address,phone,email
C0026,Abigail Lopez,"7427 Willow St, Strongsville, OH 44104",(242) 432-8701,abigail.lopez@example.com
C0027,Elijah Hernandez,"3448 Walnut St, Brunswick, OH 44108",(383) 552-2389,elijah.hernandez@example.com
C0028,Noah Gonzalez,"3365 Walnut St, Parma, OH 44106",(238) 939-7485,noah.gonzalez@example.com
C0029,James Gonzalez,"1491 Pine St, Parma, OH 44101",(254) 804-8624,james.gonzalez@example.com
C0030,Ava Martin,"9862 Walnut St, Strongsville, OH 44109",(356) 334-1350,ava.martin@example.com
C0031,Olivia Brown,"8727 Pine St, Lakewood, OH 44104",(223) 457-4486,olivia.brown@example.com
C0032,Mia Taylor,"4040 Spruce St, Strongsville, OH 44109",(323) 334-1997,mia.taylor@example.com
C0033,Charlotte Anderson,"9657 Chestnut St, Lakewood, OH 44109",(254) 736-9364,charlotte.anderson@example.com
C0034,Olivia Anderson,"3100 Spruce St, Cleveland, OH 44103",(252) 684-2971,olivia.anderson@example.com
C0035,Evelyn Johnson,"5440 Chestnut St, Lorain, OH 44102",(359) 258-5071,evelyn.johnson@example.com
C0036,Elijah Rodriguez,"791 Maple St, Lorain, OH 44109",(223) 978-2038,elijah.rodriguez@example.com
C0037,James Hernandez,"8382 Spruce St, Lorain, OH 44105",(331) 720-9737,james.hernandez@example.com
C0038,Harper Taylor,"4157 Chestnut St, Medina, OH 44108",(251) 626-2992,harper.taylor@example.com
C0039,Ethan Anderson,"5277 Maple St, Mentor, OH 44102",(270) 885-5960,ethan.anderson@example.com
C0040,Noah Jones,"6099 Pine St, Medina, OH 44108",(272) 964-2542,noah.jones@example.com
C0041,Ethan Thomas,"2767 Cedar St, Parma, OH 44109",(319) 547-7902,ethan.thomas@example.com
C0042,Elijah Lopez,"5318 Maple St, Strongsville, OH 44106",(357) 669-8216,elijah.lopez@example.com
C0043,Olivia Gonzalez,"5531 Chestnut St, Brunswick, OH 44109",(232) 315-4744,olivia.gonzalez@example.com
C0044,Noah Williams,"4451 Elm St, Cleveland, OH 44105",(409) 332-7918,noah.williams@example.com
C0045,Lucas Gonzalez,"2547 Chestnut St, Lorain, OH 44106",(238) 485-1942,lucas.gonzalez@example.com
C0046,Sophia Wilson,"1286 Elm St, Cleveland, OH 44105",(237) 822-4643,sophia.wilson@example.com
C0047,Emma Rodriguez,"2093 Walnut St, Cleveland, OH 44109",(322) 474-3117,emma.rodriguez@example.com
C0048,Liam Taylor,"4006 Maple St, Parma, OH 44101",(262) 406-6111,liam.taylor@example.com
C0049,Mia Taylor,"3472 Elm St, Euclid, OH 44105",(304) 218-5103,mia.taylor@example.com
C0050,Liam Smith,"402 Chestnut St, Lorain, OH 44109",(337) 451-8324,liam.smith@example.com
C0051,Noah Wilson,"8210 Chestnut St, Lakewood, OH 44104",(274) 550-4254,noah.wilson@example.com
C0052,Ava Gonzalez,"5794 Oak St, Parma, OH 44102",(376) 958-5187,ava.gonzalez@example.com
C0053,Amelia Garcia,"1007 Maple St, Lakewood, OH 44110",(278) 909-5801,amelia.garcia@example.com
C0054,Liam Anderson,"3136 Pine St, Medina, OH 44101",(283) 572-6389,liam.anderson@example.com
C0055,Evelyn Hernandez,"4105 Oak St, Medina, OH 44106",(262) 201-6494,evelyn.hernandez@example.com
C0056,Ethan Williams,"7876 Elm St, Lorain, OH 44104",(345) 994-1081,ethan.williams@example.com
C0057,Emma Rodriguez,"1570 Pine St, Lakewood, OH 44107",(221) 506-5984,emma.rodriguez@example.com
C0058,Isabella Williams,"9694 Chestnut St, Parma, OH 44106",(400) 706-3448,isabella.williams@example.com
C0059,Mia Martin,"2471 Oak St, Lorain, OH 44109",(251) 736-9263,mia.martin@example.com
C0060,Henry Smith,"9669 Cedar St, Akron, OH 44101",(250) 852-6909,henry.smith@example.com
C0061,Noah Gonzalez,"7495 Chestnut St, Cleveland, OH 44109",(390) 450-9016,noah.gonzalez@example.com
C0062,Lucas Smith,"7586 Maple St, Lorain, OH 44109",(232) 963-8763,lucas.smith@example.com
C0063,Lucas Williams,"4450 Cedar St, Mentor, OH 44108",(342) 591-2257,lucas.williams@example.com
C0064,Harper Martinez,"865 Spruce St, Mentor, OH 44110",(253) 539-5160,harper.martinez@example.com
C0065,Mia Martin,"9402 Pine St, Cleveland, OH 44101",(340) 475-2630,mia.martin@example.com
C0066,Elijah Thomas,"4865 Chestnut St, Medina, OH 44108",(335) 985-2941,elijah.thomas@example.com
C0067,Evelyn Miller,"5206 Maple St, Euclid, OH 44105",(333) 278-9300,evelyn.miller@example.com
C0068,James Rodriguez,"6438 Cedar St, Mentor, OH 44110",(239) 345-9586,james.rodriguez@example.com
C0069,Lucas Lopez,"2272 Spruce St, Lorain, OH 44102",(396) 573-4790,lucas.lopez@example.com
C0070,Harper Thomas,"6556 Oak St, Parma, OH 44108",(390) 661-7642,harper.thomas@example.com
C0071,Mia Jones,"6918 Willow St, Lakewood, OH 44102",(431) 539-1028,mia.jones@example.com
C0072,Mason Hernandez,"6625 Maple St, Mentor, OH 44105",(280) 581-2064,mason.hernandez@example.com
C0073,Ethan Gonzalez,"9753 Maple St, Strongsville, OH 44105",(434) 249-5597,ethan.gonzalez@example.com
C0074,Noah Johnson,"4779 Pine St, Mentor, OH 44107",(346) 523-4110,noah.johnson@example.com
C0075,Charlotte Wilson,"575 Birch St, Lorain, OH 44102",(228) 949-7731,charlotte.wilson@example.com
C0076,James Martin,"2370 Elm St, Euclid, OH 44109",(248) 374-8736,james.martin@example.com
C0077,Amelia Hernandez,"4716 Elm St, Medina, OH 44107",(383) 444-5928,amelia.hernandez@example.com
C0078,Harper Moore,"6561 Maple St, Parma, OH 44102",(269) 712-9144,harper.moore@example.com
C0079,Evelyn Davis,"7521 Willow St, Euclid, OH 44103",(356) 397-4999,evelyn.davis@example.com
C0080,Emma Garcia,"5702 Chestnut St, Akron, OH 44104",(310) 464-4311,emma.garcia@example.com
C0081,Olivia Wilson,"6372 Birch St, Lorain, OH 44107",(285) 546-2016,olivia.wilson@example.com
C0082,Harper Rodriguez,"9509 Willow St, Parma, OH 44102",(285) 454-7300,harper.rodriguez@example.com
C0083,Ethan Anderson,"7175 Elm St, Cleveland, OH 44101",(324) 926-8754,ethan.anderson@example.com
C0084,Henry Thomas,"102 Maple St, Lakewood, OH 44108",(279) 311-4666,henry.thomas@example.com
C0085,Ava Jones,"8658 Maple St, Euclid, OH 44109",(414) 240-1022,ava.jones@example.com
C0086,Ava Davis,"9428 Oak St, Medina, OH 44105",(351) 851-8166,ava.davis@example.com
C0087,Noah Brown,"1252 Elm St, Lorain, OH 44107",(282) 428-1018,noah.brown@example.com
C0088,Olivia Moore,"5040 Walnut St, Medina, OH 44104",(337) 738-4846,olivia.moore@example.com
C0089,Evelyn Davis,"579 Birch St, Medina, OH 44101",(265) 710-7881,evelyn.davis@example.com
C0090,Emma Rodriguez,"3832 Birch St, Strongsville, OH 44108",(224) 912-6538,emma.rodriguez@example.com
C0091,Amelia Lopez,"6593 Cedar St, Cleveland, OH 44109",(233) 410-9121,amelia.lopez@example.com
C0092,Elijah Martinez,"3277 Cedar St, Euclid, OH 44105",(410) 502-2785,elijah.martinez@example.com
C0093,Abigail Thomas,"3168 Cedar St, Euclid, OH 44101",(368) 349-7446,abigail.thomas@example.com
C0094,Liam Miller,"487 Spruce St, Parma, OH 44101",(397) 261-4016,liam.miller@example.com
C0095,Ethan Anderson,"5247 Maple St, Akron, OH 44106",(264) 389-9598,ethan.anderson@example.com
C0096,James Johnson,"5208 Birch St, Strongsville, OH 44108",(259) 311-1047,james.johnson@example.com
C0097,Emma Rodriguez,"1423 Willow St, Lakewood, OH 44109",(410) 412-7228,emma.rodriguez@example.com
C0098,Charlotte Martinez,"7185 Maple St, Cleveland, OH 44104",(311) 754-8312,charlotte.martinez@example.com
C0099,Elijah Hernandez,"6067 Walnut St, Cleveland, OH 44104",(423) 840-7631,elijah.hernandez@example.com
C0100,Liam Gonzalez,"671 Walnut St, Akron, OH 44105",(265) 965-2029,liam.gonzalez@example.com
C0101,Abigail Hernandez,"6046 Elm St, Strongsville, OH 44105",(407) 933-6185,abigail.hernandez@example.com
C0102,Lucas Martinez,"161 Spruce St, Akron, OH 44104",(243) 686-8630,lucas.martinez@example.com
C0103,Ethan Rodriguez,"7144 Walnut St, Parma, OH 44103",(218) 956-5969,ethan.rodriguez@example.com
C0104,Ava Martin,"3968 Willow St, Strongsville, OH 44106",(416) 810-2294,ava.martin@example.com
C0105,Benjamin Miller,"6517 Pine St, Mentor, OH 44102",(382) 234-8892,benjamin.miller@example.com
C0106,Evelyn Moore,"5437 Pine St, Lakewood, OH 44102",(283) 839-2377,evelyn.moore@example.com
C0107,Elijah Brown,"6998 Walnut St, Euclid, OH 44104",(250) 626-8551,elijah.brown@example.com
C0108,Abigail Davis,"8923 Maple St, Medina, OH 44105",(361) 474-7110,abigail.davis@example.com
C0109,Lucas Rodriguez,"3363 Walnut St, Mentor, OH 44104",(276) 357-5609,lucas.rodriguez@example.com
C0110,Henry Miller,"5446 Maple St, Lakewood, OH 44104",(345) 738-4790,henry.miller@example.com
C0111,Noah Anderson,"706 Maple St, Cleveland, OH 44104",(431) 659-7125,noah.anderson@example.com
C0112,Liam Martinez,"3915 Maple St, Cleveland, OH 44110",(427) 797-4181,liam.martinez@example.com
C0113,Emma Lopez,"8499 Pine St, Euclid, OH 44101",(243) 852-6729,emma.lopez@example.com
C0114,Elijah Johnson,"6140 Willow St, Parma, OH 44104",(281) 239-4333,elijah.johnson@example.com
C0115,Olivia Hernandez,"6800 Willow St, Parma, OH 44102",(268) 232-9120,olivia.hernandez@example.com
C0116,Evelyn Thomas,"1136 Birch St, Akron, OH 44109",(255) 854-9749,evelyn.thomas@example.com
C0117,Emma Garcia,"6617 Elm St, Lakewood, OH 44105",(322) 252-6117,emma.garcia@example.com
C0118,Henry Lopez,"6884 Birch St, Cleveland, OH 44104",(316) 945-7635,henry.lopez@example.com
C0119,Elijah Smith,"7213 Pine St, Lakewood, OH 44102",(319) 791-6975,elijah.smith@example.com
C0120,James Garcia,"2229 Oak St, Cleveland, OH 44107",(238) 786-7075,james.garcia@example.com
C0121,Benjamin Garcia,"2490 Willow St, Medina, OH 44109",(259) 268-2782,benjamin.garcia@example.com
C0122,Ethan Thomas,"3333 Elm St, Parma, OH 44108",(296) 254-7355,ethan.thomas@example.com
C0123,Emma Martin,"2725 Cedar St, Brunswick, OH 44110",(432) 400-8748,emma.martin@example.com
C0124,Sophia Jackson,"3673 Oak St, Lakewood, OH 44107",(307) 326-3448,sophia.jackson@example.com
C0125,Isabella Miller,"773 Chestnut St, Cleveland, OH 44102",(315) 813-8466,isabella.miller@example.com
C0126,Evelyn Martinez,"6982 Elm St, Brunswick, OH 44107",(315) 874-7020,evelyn.martinez@example.com
C0127,James Taylor,"7281 Pine St, Cleveland, OH 44110",(341) 676-4854,james.taylor@example.com
C0128,James Martin,"7608 Pine St, Euclid, OH 44102",(233) 331-6874,james.martin@example.com
C0129,Amelia Lopez,"1602 Walnut St, Lorain, OH 44101",(378) 333-2347,amelia.lopez@example.com
C0130,Mason Taylor,"1410 Oak St, Lorain, OH 44103",(222) 267-2795,mason.taylor@example.com
C0131,Elijah Jones,"8158 Elm St, Parma, OH 44102",(429) 559-5132,elijah.jones@example.com
C0132,Sophia Hernandez,"4605 Walnut St, Parma, OH 44109",(338) 413-5306,sophia.hernandez@example.com
C0133,Abigail Taylor,"3989 Willow St, Strongsville, OH 44104",(262) 613-3641,abigail.taylor@example.com
C0134,Lucas Hernandez,"6274 Pine St, Medina, OH 44109",(228) 851-6894,lucas.hernandez@example.com
C0135,James Moore,"8643 Spruce St, Akron, OH 44109",(377) 603-7086,james.moore@example.com
C0136,Lucas Gonzalez,"6144 Spruce St, Parma, OH 44106",(411) 283-8246,lucas.gonzalez@example.com
C0137,Isabella Garcia,"891 Elm St, Lorain, OH 44105",(379) 799-6122,isabella.garcia@example.com
C0138,Olivia Johnson,"3731 Pine St, Medina, OH 44107",(347) 572-1782,olivia.johnson@example.com
C0139,Ava Thomas,"3823 Spruce St, Cleveland, OH 44101",(216) 780-6815,ava.thomas@example.com
C0140,Mia Brown,"8670 Willow St, Lorain, OH 44107",(365) 508-3190,mia.brown@example.com
C0141,Elijah Lopez,"7880 Pine St, Parma, OH 44104",(397) 352-8386,elijah.lopez@example.com
C0142,Noah Williams,"2470 Elm St, Lakewood, OH 44101",(230) 860-6739,noah.williams@example.com
C0143,Abigail Jackson,"7370 Spruce St, Lorain, OH 44104",(258) 200-1720,abigail.jackson@example.com
C0144,Liam Moore,"513 Birch St, Parma, OH 44103",(230) 997-2718,liam.moore@example.com
C0145,Olivia Martin,"9126 Cedar St, Parma, OH 44104",(348) 822-9305,olivia.martin@example.com
C0146,Amelia Martin,"2961 Chestnut St, Medina, OH 44105",(376) 249-8830,amelia.martin@example.com
C0147,Evelyn Smith,"6246 Birch St, Euclid, OH 44108",(260) 431-2724,evelyn.smith@example.com
C0148,Lucas Davis,"735 Maple St, Strongsville, OH 44101",(284) 851-8144,lucas.davis@example.com
C0149,Benjamin Rodriguez,"4943 Cedar St, Akron, OH 44103",(282) 441-4322,benjamin.rodriguez@example.com
C0150,Sophia Hernandez,"3244 Birch St, Strongsville, OH 44107",(434) 845-9787,sophia.hernandez@example.com
